Row	Free_fatty_acid	Growth
WT_yields	0.0109050593204989	0.0121721303880607
Q0045	0.645302138218944	1
Q0080	0.999884418306271	1
Q0085	0.999884418306271	1
Q0105	0.646982901178847	1
Q0130	0.999884418306271	1
Q0250	0.645302138218944	1
Q0275	0.645302138218944	1
YAL012W	0.999941995569793	1
YAL022C	0.999994350436292	1
YAL023C	0.999945162296366	1
YAL038W	0.999995266050509	1
YAL044C	1.00314310655118	1
YAL054C	0.999979356846921	1
YAL060W	0.999979859611128	1
YAL062W	0.999994558300572	1
YAR015W	0	0
YAR035W	1.00198630947849	1
YAR071W	1.0000000007559	1
YBL011W	0.999941666218354	1
YBL013W	0.99998499118667	1
YBL015W	0.999938455523522	1
YBL030C	1	1
YBL033C	0	0
YBL039C	0.999939646470581	1
YBL042C	1	1
YBL045C	0.64698290126635	1
YBL064C	0.999938420853889	1
YBL068W	0.999939649162362	1
YBL076C	0	0
YBL098W	0.999938992742892	1
YBL099W	0.999884418306271	1
YBR002C	0.99994284341999	1
YBR003W	0.999945716018495	1
YBR004C	0.999938994730487	1
YBR006W	0.999979884607932	1
YBR011C	0.999939650074238	1
YBR018C	0.999994351203293	1
YBR019C	0.999938988281311	1
YBR020W	0.999941995268579	1
YBR021W	0.99999999999999	1
YBR023C	1.00400702672023	1
YBR026C	0.999993879623738	1
YBR029C	0	0
YBR034C	0.999999999999743	1
YBR035C	0.999942002839357	1
YBR036C	0.999979342876911	1
YBR038W	0.99999432441088	1
YBR039W	0.999884418306271	1
YBR041W	0.999979336419031	1
YBR042C	0.999938423875258	1
YBR058C-A	1.00077283941363	1
YBR068C	1	1
YBR069C	1	1
YBR084W	0.999938994052011	1
YBR085W	1	1
YBR092C	1.00000000000032	1
YBR093C	1.0000000007559	1
YBR097W	0.999938994730548	1
YBR110W	1	1
YBR115C	0	0
YBR117C	0.999939650471911	1
YBR121C	0.999944775785127	1
YBR126C	0	0
YBR127C	1.00308260466698	1
YBR132C	0.999939242049303	1
YBR145W	0.99994188573122	1
YBR149W	0.999945243417727	1
YBR153W	0	0
YBR159W	0.999939011969458	1
YBR161W	0.999941908770573	1
YBR166C	0	0
YBR176W	0.9999943244107	1
YBR180W	0.999993878259338	1
YBR183W	0.999938421785592	1
YBR192W	0.999945706858105	1
YBR196C	2.76834834004739	1
YBR199W	1.0000000007559	1
YBR204C	1.00391645811187	1
YBR205W	1.0000000007559	1
YBR208C	0.999938994052081	1
YBR213W	1.00000000000015	1
YBR218C	0.999938994051362	1
YBR221C	0.996743845851465	1
YBR244W	0.999945265108355	1
YBR248C	0	0
YBR249C	0.999995353402969	1
YBR252W	0.999996351849154	1
YBR256C	0	0
YBR263W	0.999930710279049	1
YBR265W	0.999938440551432	1
YBR291C	0.999900205153589	1
YBR293W	1	1
YBR294W	1	1
YBR296C	1	1
YBR298C	1	1
YBR299W	1.0000000007559	1
YCL004W	0.999938965478367	1
YCL009C	0.999939013748213	1
YCL018W	0	0
YCL025C	1	1
YCL030C	0	0
