Row	rrbutanediol	phenylethanol	glycerol	methylbutanol	isobutanol	lpac	nbutanol	docosanol	choline	hypoxanthine	xanthine	sreticuline	psilocybin	cinnamoyltropine	glutathione	alanine	arginine	asparagine	aspartate	citrulline	cysteine	glutamate	glutamine	glycine	histidine	homoserine	isoleucine	leucine	lysine	methionine	phenylalanine	proline	serine	threonine	tryptophan	tyrosine	valine	ornithine	nicotianamine	ergothioneine	hydroxymandelicacid	cinnamate	mandelicacid	coumaricacid	rosmarinicacid	salidroside	tyrosol	vanillinbetaglucoside	betaionone	putrescine	spermine	ffas	laurate	oleate	palmitoleate	triacylglycerol	ergosterol	ara	dha	epa	catechin	genistein	kaempferol	naringenin	quercetin	lactate	malate	oxoglutarate	acetate	citrate	fumaricacid	glycolate	hexanoate	pyruvate	hpasp	hpmalcoa	adipicacid	cismuconate	itaconicacid	caffeicacid	succinate	resveratrol	astaxanthin	betaxanthin	betacarotene	artemisinicacid	farnesene	amorphadiene	geraniol	limonene	linalool	lupeol	oleanolate	patchoulol	protopanaxadiol	santalene	betaamyrin	glycyrrhetinicacid	lycopene	miltiradiene	nootkatone	squalene	taxadienalphaylacetate	valencene
malate	13.7832435672438	10.2516671176495	10.058747995729	10.2228719955897	14.12420644164	10.8571370844809	10.2423332865509	13.7022577141194	11.4033824871007	29.801229045416	27.0544520688042	13.6867603513676	13.6856510884531	13.6820857637003	9.16627483417596	11.3336738816269	8.64729203788946	9.54326265569468	11.8990534313254	8.8282620016611	12.7369498714602	9.93839998546344	8.92017537125145	10.6688431316215	8.09287283207899	11.200333903563	11.3288385817091	10.4172596337718	8.92316800298157	11.3777972450085	10.104470734907	10.735440266237	8.52529310938106	9.62885896456901	8.75620841598103	9.89653362441281	12.9313387012714	10.9713863400506	13.6967863178776	13.7150886315482	9.68584124923153	10.0322441006158	9.68722580504198	13.805095310631	12.5381378576047	13.6514671851598	13.6514653363525	13.6806384600424	13.6812289053719	11.3022172787697	10.0478753916485	10.9848817537617	12.5454109851901	11.0052975540473	11.0113298628831	13.221560103059	11.4793562954089	13.7008403105002	13.7110526523023	13.7003097891296	13.6789629251733	13.6851862137973	13.6569036710635	13.6841554119494	13.6571635602012	13.9231037021078	0	9.13372983154992	10.115446472123	4.77666724376759	4.24264068716902	16.1637174137115	12.2112513571745	12.0396062535179	9.60298240515825	9.91775709333005	10.8268904828377	9.45166966805684	8.77630999391845	13.6812030720542	8.53337943427783	13.827882985066	13.6815966388187	13.6687667292718	13.6826646993962	11.7322037730575	13.7322957290249	10.9087925347881	10.8129893198684	11.0871208280641	14.6243093246418	13.69166916102	13.7190371057589	13.6839664426615	13.6892156927746	11.4922981822741	11.1573887598882	13.6865016103859	13.6816475414832	13.6811530352484	13.8179067834366	11.2673345719296	13.7011096131524	13.831134276831
oxoglutarate	13.4294897210589	10.6595250509727	12.8500897405811	8.23587607644662	13.937760463461	11.8861681821157	9.02462720456602	14.4828116826117	10.7607917391101	28.5361420689217	24.8766047865474	14.5031648308856	14.5097820825798	14.507892097868	7.70474981833858	12.0199549095393	8.30543136051332	9.27821055401686	11.8145939926117	8.30418124919375	13.0069062142626	7.38402293807137	9.00973998198903	13.2127212274992	8.62284797954402	10.6685585902996	10.7637914133556	8.71202419679996	7.5118267335666	11.0967817332493	10.2915429395801	8.34571435891259	10.4279021037895	9.14456503837174	8.50426040012025	10.0426614695056	12.2903461661938	8.60730229379863	14.5054215541058	14.5026757813256	9.79674391370589	10.2206384319993	9.83034404562303	14.2686355533474	12.5161288978686	14.4889356852374	14.4888267651298	14.5100288490711	14.486626561639	8.98065313608901	8.89195315777046	9.32853005114101	10.4234888542886	9.36834699203347	9.37041860005586	12.4668038090397	9.52939271027347	14.4889766496157	14.4776238522972	14.4866341637477	14.4793962771133	14.4980886018431	14.4668124400926	14.4835532112304	14.4662253471553	14.0605618311515	9.13372983154992	0	8.14245121836631	8.10931956707577	9.02498309219678	12.3280194722454	10.3096363285774	12.9365122559747	8.94572864390942	8.1515034842727	11.8081087546021	10.0783031534501	4.1276240684247	14.5088112279769	8.81849339018241	14.3601713342101	14.4949083076389	14.4849784078913	14.4732152225151	9.84651297256293	10.9037664910428	8.69427983878605	8.70639583961364	8.86313519581104	13.4539459780484	14.4745938095155	14.4565446128418	14.4713898147401	14.4908074741404	9.10531745015756	9.12188926542266	14.4811850724907	14.484988875518	14.4990954791569	14.314167768139	9.21814814417594	14.4686828983079	14.3376916654187
acetate	10.6994854550844	9.62761514818191	10.9586487700883	7.34461396990593	11.9449065756544	9.62450221312144	7.6904692628828	11.913559123749	9.35991484336644	31.4078197946949	28.477529920577	11.9401873443843	11.9484514097397	11.9484316371236	9.28609299442034	10.2780154109469	8.06118117763461	8.15640308354633	9.71893113468635	8.13549557775442	13.2901731929989	8.33063694699202	8.64348772347786	11.1895219054805	8.7926330112924	9.0984972747442	9.46508840439515	7.6713009668179	8.01839058444738	11.3915916143963	9.71651313833072	9.63549859795822	9.18394177690496	7.74024419232358	9.7205330334636	9.48196888996112	10.6599509863211	9.96465654842249	11.9326893580879	11.9281758286377	9.13966389376894	9.64138070223889	9.21143768342469	11.6896761033644	10.433895440785	12.0769838011618	12.0768127440015	11.9506766164579	11.9228828629176	10.1401125640701	11.1597176220837	8.48195798546464	11.0489641681661	8.6000970778218	8.5708882565315	14.3556695278658	9.75706166509893	11.9234231479037	11.909698418833	11.9210137384883	11.9165197280791	11.9362102521841	11.9002533779449	11.9176136402028	11.9009102640295	11.6080683100544	10.115446472123	8.14245121836631	0	9.85949509928737	10.479557137551	16.0657623312733	9.61059274214365	11.4468737929594	7.2440082472997	7.94536629322741	10.5788567025291	9.52916157352105	7.43865545171264	11.949911066521	8.6200271938686	11.7730763063216	11.9327572637621	11.9263792434159	11.9078645555342	10.4009863283136	12.5745855534818	9.35121124709458	9.20181157409222	9.42109154335283	12.984547023279	11.9088980145068	11.8904892492324	11.9043922835231	11.9271256178846	9.21077813524776	9.6429376554706	11.9185690381845	11.9200362555263	11.9365723786639	11.7553203955491	9.756911646138	11.900734051671	11.7636530793539
citrate	13.7762164476056	10.1329274363286	10.8015860687901	9.79902491413343	14.1546565291093	10.8994729439627	9.68742182500092	13.8211592295912	11.3294572375573	29.5831155938699	26.2976561466709	13.81343669925	13.8145664643186	13.8109311551761	8.46822883999613	11.3454614962301	8.25487887180834	9.32079702714554	11.9595277418948	8.44152966165021	12.5632431595615	8.85511933288794	8.4757336585263	11.4049914137392	7.82291782320212	11.2018497046778	11.2323414470576	9.94937629265164	7.84295226605419	11.4430181167852	9.84865052985034	9.92121517417911	8.75790000283259	9.83866958337872	8.11078017638275	9.62646135607834	12.8391527248277	10.2412583166467	13.8212839746954	13.8367940596259	9.35127190788777	9.77453404160609	9.36896938735933	13.8051136256519	12.4411238888074	13.7855719213249	13.7855536105946	13.8104974068871	13.8021297126808	10.5948870331627	9.84471293774313	10.5206600732709	11.7528450763268	10.5645006734499	10.5704877768928	12.9658402249736	10.5099000499004	13.8218275097295	13.8272401440965	13.8206686600753	13.7978337092894	13.810904915452	13.7721250407498	13.8049874219991	13.7726112000926	13.9284450931552	4.77666724376759	8.10931956707577	9.85949509928737	0	4.93117959781945	14.2649345460566	11.5919668864524	11.9712784207347	9.5392269747146	9.5568718381703	10.8861327368347	9.24377728609338	7.39019042765095	13.8105418329548	8.78411733414416	13.8721679763464	13.8055396045019	13.7926967016903	13.7983855924332	10.5937036123151	12.5844072424184	9.69749570314839	9.62556136963613	9.92467285712902	13.8357451409191	13.8073315916577	13.8265396106159	13.7985782800843	13.8111549619921	10.5037040655545	9.9847337945178	13.8056159039476	13.8015362973957	13.8064557616809	13.8328163353607	10.109004489943	13.8144221915552	13.8495729408555
fumaricacid	14.1347912467481	9.94896526230649	10.7087998143329	10.2189045714249	14.3872578983935	11.2491442660952	10.4413952763505	14.0918370755767	11.518581829536	28.9192495141416	26.2145479438143	14.0774445325255	14.0774363180602	14.0742804608624	8.35187234904324	11.4749813747996	8.54879374875823	9.54542623987941	12.1817424375193	8.76027946018181	12.1779080225755	9.80155622081079	8.98790466557855	11.2838023649342	7.70432483950947	11.3431923334772	11.3166053939486	10.3663426674643	8.86344722273557	10.8996706660938	9.61999470810182	10.4895951709096	8.72850015993415	9.83745528776119	7.86105953310956	9.43486857916298	12.9765889798275	10.7309496527498	14.0915338260281	14.1047085907267	9.25123402664776	9.54410242120628	9.21052303691933	14.0930287896777	12.6139699658952	14.0471020853912	14.0471523078041	14.0723338909649	14.0714632466785	11.0689692150003	9.53381456517316	10.8735156763422	12.3580484479476	10.8448296835182	10.8494410106174	12.8215118991155	11.0562856743423	14.0895106825289	14.0974704726058	14.0888961345581	14.0674920030052	14.0754821594053	14.0467527369525	14.0731609079287	14.0466794420796	14.3997486979831	4.24264068716902	9.02498309219678	10.479557137551	4.93117959781945	0	16.2100502765126	12.2552266865796	12.1017395700782	10.0720846047934	10.04580683935	10.6795676181135	9.03454702850257	8.48743604620143	14.0726961880096	8.53337886917106	14.1816759374893	14.0724426434662	14.0551816260713	14.071281930606	11.3894173066189	13.1784295843247	10.6342378260278	10.6338684331309	10.8150920657915	14.5719320073909	14.0799660973352	14.1022521199811	14.0730374074393	14.0794632100818	11.2204025077331	10.9100792356984	14.0748215729713	14.0715624388858	14.0728566615552	14.1653798742479	11.027815238587	14.0880062076397	14.1887952835362
glycolate	22.0752801642667	19.4769868098167	20.3546576886495	16.8943296386774	22.5909523989872	20.6720946257366	17.0205601376805	22.9826479764445	18.8381173562571	26.7873366482912	21.9463640252281	23.009407846422	23.0180205973628	23.0168907026562	15.4536655642743	20.993568769053	17.6527665369196	18.6704214484275	21.0345474251412	17.8221389928034	19.4038987285786	16.1264713876165	18.1172842921944	21.2197344445192	16.8698334540895	19.9787646653767	19.4845566776236	17.6417889770165	15.8249050133824	17.8522791198528	19.2263757715202	17.0305241862684	18.7074693430854	18.2482183406044	16.3700308559505	19.0418178211748	21.3708797177573	17.2188894418989	23.003881375865	22.9981652738871	18.703963590875	19.188514905247	18.6728528151893	22.7325040062282	21.379209329492	23.0107260628326	23.0105621200563	23.0200131412351	22.9867318550038	17.3185378965169	14.8072616882327	16.7896362910502	15.1158825774689	16.8704622600852	16.9284793566804	14.4631335413425	16.4708730106299	22.9934282646214	22.9792605574088	22.9906220670333	22.9788839608448	23.006603741268	22.9567271658611	22.9875079669955	22.9569583425113	22.7434085414462	16.1637174137115	12.3280194722454	16.0657623312733	14.2649345460566	16.2100502765126	0	18.0995627848244	21.7492306584275	17.9278612767373	15.3598234821646	20.5268050482727	18.7116155826617	13.7033539882215	23.0194545830167	17.5497644218706	22.7780765723845	22.9985540504069	22.997672713663	22.9681935471083	16.7558758020298	16.503208100519	15.6172661844707	15.5727045395646	15.7289004649965	20.1194933403893	22.9701994645011	22.9481830654838	22.9639009465423	22.9926329714786	15.9495165961116	16.0230859148504	22.9819473144502	22.9840991351462	23.0032087159108	22.6761081946291	15.9957562085037	22.9625848597961	22.6884140473891
hexanoate	9.44856649921465	8.61532138583473	11.0264028735896	8.68574844134621	10.2911598866698	8.63350879093975	8.30744032829642	8.62981874182446	5.1929022524212	33.8442431240851	30.3909937141876	8.73664772368893	8.76724060936948	8.77635448580462	10.2685979513907	8.92531090939188	7.98287385137371	8.04631556278572	8.7505495121574	8.05948785789065	12.6158524658885	8.55415510775112	8.07022030410673	11.1421961411403	9.64611190552854	8.92717866415098	9.04481556621537	8.28719303053488	8.29591724112189	11.5991128562244	8.7124726433084	9.41405467351658	9.46739028491577	8.9269047546617	10.1580411272806	8.74323129681609	9.66677851458912	9.75029779140594	8.72810872484351	8.67241148477241	8.59755241668739	8.71181580354822	8.49309610686949	7.67115640002697	6.79482493390465	9.04560242982391	9.04581437980205	8.77908518417142	8.67693562672227	9.6775429558749	11.6741613900564	8.43945481839836	10.9369333502089	8.437486744136	8.35562028122978	17.2257740304488	8.64256057820177	8.67564109491535	8.62167913189184	8.66841390075447	8.66057158682756	8.72905027216533	8.6147519994485	8.65889148471527	8.6211210105197	10.4286706027781	12.2112513571745	10.3096363285774	9.61059274214365	11.5919668864524	12.2552266865796	18.0995627848244	0	9.26565063337405	8.61782149899054	8.77733575492782	9.26164250784786	9.04548071435737	8.75636639167885	8.77730775654519	9.77838192120432	7.76783938820234	8.71378428892118	8.71200202428522	8.61790949611979	10.3828351759815	8.94041641916778	10.0802445033662	10.0212992359749	9.06776906592499	7.41165978263907	8.61203939413807	8.5077862726795	8.60375897516083	8.68433322660735	8.71617247548046	10.140759124936	8.65420370602325	8.66727137222092	8.72801480727106	7.61287633724028	9.73615482330975	8.56046712774249	7.64086191652513
pyruvate	7.09227601731438	7.7598734548891	9.15538073669087	10.028780031159	8.05854840141151	5.70813086537153	9.16057194568917	6.84908360667314	9.0835690982806	37.2824662751842	34.4516413839082	6.83151574494991	6.83300023435404	6.82920355768755	12.1780592324711	5.73796373519529	7.11125049394928	6.51905312821833	6.33401544462224	6.87362875307553	14.3433152276507	8.38721139907308	6.64850471460731	8.19771119432083	10.0520602886944	6.8324212417842	8.87853526920836	8.65664085144465	9.11360356566235	13.6400050471585	8.06489667231947	9.82823176110618	8.45152784462129	8.12281735198648	11.4741424980735	7.96113356947919	7.25452190566713	10.1511489088076	6.85476454378811	6.86018151140467	8.05246579967972	8.09657049227242	8.23389144513219	6.99057564002811	6.33505637744956	6.78370082110446	6.78443153358714	6.82587236150063	6.83009770916296	10.6731077232739	15.0498020782741	11.9909681836748	16.0170697181465	11.94401630779	11.8258063997748	20.6659031916475	12.2673363672962	6.84260256050832	6.85025599247916	6.84226347985985	6.82502939884595	6.83031027754004	6.8163642315724	6.83131151503733	6.81530236202002	6.31144908825585	12.0396062535179	12.9365122559747	11.4468737929594	11.9712784207347	12.1017395700782	21.7492306584275	9.26565063337405	0	8.82366146972943	12.6124435514013	7.08757413165062	8.37171154969791	10.6519068759799	6.82670207602449	9.00501847755465	7.07664888880125	6.82918602563866	6.80810147136162	6.8323625687913	11.9596050298479	14.3792795403562	12.1059055173464	12.0483610339332	12.150637458429	11.3799524855085	6.83921772840061	6.86042945212984	6.83534364671389	6.83594543625662	12.6595272228241	11.9960150260045	6.83174789300586	6.83068438925745	6.83020424786981	7.08975081670509	12.2636202832531	6.84941858780581	7.11782400231487
hpasp	8.25930765656443	7.51009103065549	8.81484603794363	6.73014761502062	9.22504914271547	6.47350830812139	6.02906440779631	9.08292994840841	7.83657939974814	33.4893678237699	30.6384997185942	9.08683913529698	9.08889813859886	9.08553547465287	9.19432957876104	7.23182423394639	5.508305669254	5.23926749579051	6.12884996496679	5.52292920619668	12.0729385568641	6.99761057124643	6.12118415506283	8.51948320605917	7.75402078331858	5.39836372842853	6.64143074570124	6.52097626280707	7.10009977466039	10.4237149019305	7.54810685532342	7.96658311082127	7.16758981885475	5.07093795985714	9.20862771190672	7.49795104260231	8.07072354683343	8.36121517297543	9.08096037029172	9.09625018975675	7.42459785663929	7.45113607953729	7.34038048547028	9.16585175697767	7.78936922613655	9.05467733868486	9.05453695031246	9.08717769090356	9.08322528619783	8.63441637657421	11.49376830261	8.4893804203076	12.0022073402588	8.5678622731328	8.51247238707491	16.1968605506117	9.45020442810407	9.0834913166184	9.08268900291029	9.08213779992711	9.07859610731857	9.08430519126727	9.07309033292335	9.08305394697275	9.07129465285461	8.27565511702285	9.60298240515825	8.94572864390942	7.2440082472997	9.5392269747146	10.0720846047934	17.9278612767373	8.61782149899054	8.82366146972943	0	8.20014043808221	8.2446293084983	7.68041497294658	7.02271851159761	9.08683061482832	6.27553309842448	9.21898731326991	9.08456463029617	9.07357778750571	9.08215180662614	9.793111916552	12.8554794375001	9.25391850620883	9.08102325724021	9.21994195323242	11.9147030596749	9.08587217608853	9.09621147365015	9.08237276943551	9.08691637656036	9.63364634088072	9.32907099891884	9.08466433601307	9.08306703799682	9.08531026988924	9.2392828714812	9.35735171415184	9.09436738504418	9.24488883823563
hpmalcoa	12.7170378028966	9.67281253062983	11.6903484646892	8.15944398211739	13.6400569916761	10.6977231979213	9.14148016912038	13.1314208909171	8.80890242597977	28.973366393491	25.9339327803559	13.1734062641112	13.1820044385199	13.183047560396	8.04848517265733	11.1345137716668	8.01351732080917	8.25849068850935	11.2637385917178	8.64936996362937	11.0546453173592	9.71220010521417	9.43015408905164	11.8985220137535	7.10507842619451	10.2069526496989	9.91523835930381	8.91631549182744	8.39614850134382	9.75710561996923	9.3333333936466	10.5034104517047	9.01744636611356	8.81635347552695	8.04321871595899	9.25282803863621	12.3401604588245	10.7747191521008	13.167476697735	13.1624141588642	9.03215220801057	9.25509058739963	8.87186946933279	12.9518898438344	11.2858451900838	13.3071055533666	13.3068402108278	13.1844714200845	13.1497744572795	10.895703747526	8.44707968288992	3.90593899243902	6.20201690461318	4.1492515373032	4.21719981576711	11.6949812902116	7.01491352907925	13.1488396373659	13.131803003363	13.1454487017098	13.1432255671344	13.1666133647373	13.1277993412073	13.1462632850357	13.127814089102	13.4142497950004	9.91775709333005	8.1515034842727	7.94536629322741	9.5568718381703	10.04580683935	15.3598234821646	8.77733575492782	12.6124435514013	8.20014043808221	0	10.9903330504184	9.27716694097059	7.87760890479363	13.1837043723711	9.72316442845738	12.943890099355	13.1618197290694	13.159188848925	13.1308083958189	10.2598159487428	10.4703513286861	9.05769992349751	8.96708743833251	8.57752751697379	12.8189346752491	13.1301728020489	13.0998617766694	13.126762098892	13.1533451611729	6.4730530322256	9.46014926382055	13.1424326849405	13.1485727834789	13.1668540209369	12.8835577466924	9.35193201981355	13.1186264971057	12.8986803298631
