models	chemClass	cand_1_total	cand_1_OE	cand_1_dR	cand_1_del	cand_2_total	cand_2_OE	cand_2_dR	cand_2_del	cand_3_total	cand_3_OE	cand_3_dR	cand_3_del
ecprotopanaxadiol	terpene	115	13	74	21	22	9	6	1	22	15	6	1
ecpsilocybin	alkaloid	113	15	72	19	23	11	6	0	23	17	6	0
ecputrescine	bioamine	71	32	31	0	43	22	11	3	43	29	11	3
ecpyruvate	organic acid	82	24	43	5	56	23	11	13	56	32	11	13
ecquercetin	flavonoid	117	19	72	19	40	15	12	7	40	21	12	7
ecr,r-2,3-butanediol	alcohol	104	5	89	2	36	4	26	0	36	10	26	0
ecresveratrol	other	123	12	81	21	54	11	22	13	54	19	22	13
ecrosmarinic_acid	aromatic	65	17	25	15	35	15	5	10	35	20	5	10
ecs-adenosyl-l-methionine	other	67	45	10	1	63	38	2	14	63	47	2	14
ecsantalene	terpene	53	22	13	15	26	14	7	2	26	17	7	2
ecserine	amino acid	59	19	24	13	32	9	10	11	32	11	10	11
ecspermine	bioamine	78	39	23	5	55	27	10	11	55	34	10	11
ecsqualene	terpene	52	19	15	15	25	14	6	2	25	17	6	2
ecsuccinate	organic acid	89	32	25	21	61	20	11	20	61	30	11	20
ectaxadien_5alpha_yl_acetate	terpene	121	16	78	20	37	12	13	7	37	17	13	7
ecthreonine	amino acid	55	21	23	0	32	16	8	3	32	21	8	3
ecthymidine	nucleic acid	56	28	19	1	36	27	6	1	36	29	6	1
ectriacylglycerol	fatty acids and lipids	58	2	1	4	36	2	0	1	36	35	0	1
ectryptophan	amino acid	49	22	17	3	27	14	9	3	27	15	9	3
ectyrosine	amino acid	44	18	21	2	30	10	10	7	30	13	10	7
ectyrosol	aromatic	161	11	76	69	68	9	17	39	68	12	17	39
ecurea	other	124	43	19	16	86	28	4	15	86	67	4	15
ecvalencene	terpene	124	19	79	19	40	14	11	10	40	19	11	10
ecvaline	amino acid	99	22	67	0	35	12	19	0	35	16	19	0
ecvanillin_beta_glucoside	aromatic	118	15	77	19	36	11	11	8	36	17	11	8
ecvitamin_a	other	116	16	74	19	34	11	10	7	34	17	10	7
ecxanthine	alkaloid	105	32	19	5	74	19	6	5	74	63	6	5
ecxanthone	other	118	14	78	19	36	10	12	8	36	16	12	8
