compound	type	family	MW	bioYield_gem	prodYield_gem	prodRate_gem	bioYield_ec	prodYield_ec	prodRate_ec	cFlux_l	cFlux_h	Pburden	CCMratio
betaxanthin	heterologous	terpene	358.3	NaN	NaN	NaN	0.483767870863023	0.00984634995547972	0.00362619569728031	0.368277797100493	0.369944076335042	0.103616367932304	0.811418170026659
beta-carotene	heterologous	terpene	536.8726	NaN	NaN	NaN	0.483767870863022	0.0023633081106638	0.000850003909723724	0.359666628267555	0.361333385462983	0.103616367932304	0.628720958085589
artemisinic acid	heterologous	terpene	234.33	NaN	NaN	NaN	0.483767870863025	0.220821872284899	0.356884108356297	1.00000002574187	2.22364156887056	0.102133250782893	0.0842514627349513
alpha-Farnesene	heterologous	terpene	204.36	NaN	NaN	NaN	0.483767870863021	0.210528131092459	0.210877592723747	1.000001	1.40438796361873	0.103616367932304	0.18474412663161
amorphadiene	heterologous	terpene	204.351	NaN	NaN	NaN	0.483767870863022	0.230351122273756	0.461790531959242	1.00000001806466	2.65895265979621	0.0804488468695956	0.103314830441336
Geraniol	heterologous	terpene	154.25	NaN	NaN	NaN	0.483767870863024	0.345526683410634	0.72918933251803	1.00000001806465	2.78063110839343	0.077874575644835	0.105019128017509
Limonene	heterologous	terpene	136.24	NaN	NaN	NaN	0.483767870863024	0.3446251971753	0.452897972444213	1.000001	1.85965990814738	0.103616367932304	0.109988913500397
linalool	heterologous	terpene	154.25	NaN	NaN	NaN	0.483767870863024	0.194470977177814	0.192575091294686	0.990250069775263	0.991916970982285	0.103616367932304	0.191577719612959
lupeol	heterologous	terpene	426.72	NaN	NaN	NaN	0.483767870863022	0.00327728514878779	0.00118093616488145	0.360339406042254	0.362006184342961	0.103616367932304	0.489025361421476
Oleanolic acid	heterologous	terpene	456.7	NaN	NaN	NaN	0.483767870863024	0.00506595487035142	0.00186294923072842	0.367738642655923	0.369405721153421	0.103616367932304	0.39719700629441
patchoulol	heterologous	terpene	222.36	NaN	NaN	NaN	0.483767870863024	0.00686008605556965	0.00247447369543352	0.360705565632201	0.362372368477168	0.103616367932304	0.60325036908683
protopanaxadiol	heterologous	terpene	460.73	NaN	NaN	NaN	0.483767870863023	0.002008853114768	0.000714462722910059	0.355656669566825	0.357323242909828	0.103616367932304	0.598898764439524
Santalene	heterologous	terpene	204.35	NaN	NaN	NaN	0.483767870863023	0.226729950995226	0.242131517443272	1.000001	1.56065758721636	0.103616367932304	0.164818567158501
beta-Amyrin	heterologous	terpene	426.72	NaN	NaN	NaN	0.483767870863022	0.113616847932371	0.165929072414011	1.00000001806466	2.03694556954245	0.103300619244329	0.0724295745997373
glycyrrhetinic_acid	heterologous	terpene	470.7	NaN	NaN	NaN	0.483767870863026	0.0024757409497787	0.000884650715899347	0.357327300874399	0.358993948944977	0.103616367932304	0.551993325669962
lycopene	heterologous	terpene	536.873	NaN	NaN	NaN	0.483767870863022	0.00169611872389282	0.000620272952277282	0.365701010941452	0.367367642663764	0.103616367932304	0.687246336006315
miltiradiene	heterologous	terpene	272.5	NaN	NaN	NaN	0.483767870863022	0.00183735113803634	0.000647948419242844	0.352653207043981	0.354319656128286	0.103616367932304	0.797338654276895
nootkatone	heterologous	terpene	218.33	NaN	NaN	NaN	0.48376787086302	0.0385346564549002	0.0166263968840206	0.431465642173192	0.433131984420103	0.103616367932304	0.286785004226639
squalene	heterologous	terpene	410.73	NaN	NaN	NaN	0.484248460449653	0.114433901614928	0.266089110074925	1.000001	3.0330651932555	0.103616367932304	0.0957344853237183
taxadien-5alphayl-acetate	heterologous	terpene	330.5	NaN	NaN	NaN	0.483767870863024	0.00473753503635344	0.00181347952516851	0.382789298184241	0.384456110978202	0.103616367932304	0.854794489028447
valencene	heterologous	terpene	204.35	NaN	NaN	NaN	0.483767870863026	0.0385487209228142	0.0166339141606158	0.431503228343362	0.433169570803079	0.103616367932304	0.286739450455747
