product	OEf	Pcost	Ccost	c_uptake	p_rate	O2_in
psilocybin	1	468.975487489929	289.74822069864	0.355653014384008	0.000777280456177913	0.00310911871558978
psilocybin	2	367.288672269166	228.215753406088	0.357679414014822	0.000992476785631141	0.00396990317261743
psilocybin	5	306.276583136708	191.296273029934	0.359541126871311	0.00119018397397271	0.00476073113515493
psilocybin	10	285.939220092555	178.989779571409	0.360338249704291	0.00127483554279276	0.00509933707182884
psilocybin	20	275.770538570479	172.836532842025	0.360780900428968	0.00132184345268365	0.00528736852336077
psilocybin	50	269.669329657233	169.144584804456	0.361062514663423	0.00135174986831378	0.00540699406625562
psilocybin	100	267.635593352818	167.913935458516	0.361159239352875	0.00136202168136839	0.00544808127738684
miltiradiene	1	586.84231761763	359.512008614257	0.352653207043981	0.000647948419242844	0.00777537325553311
miltiradiene	2	419.969930094574	258.534613470597	0.354369519669774	0.00090540661318186	0.0108648684933029
miltiradiene	5	319.846497580765	197.948176312811	0.356258935032449	0.00118883137667979	0.014265962254181
miltiradiene	10	286.472020076159	177.752697272188	0.357182233647846	0.001327332253754	0.0159279711170611
miltiradiene	20	269.784781323854	167.654957752146	0.357729547375514	0.0014094329197491	0.0169131781237941
miltiradiene	50	259.772438072472	161.596314039986	0.35809168757071	0.0014637563356089	0.0175650584622308
miltiradiene	100	256.434990322011	159.576766135969	0.358218685207693	0.00148280681808544	0.0177936640233434
valencene	1	30.4831095504588	22.8500658710696	0.431503228343362	0.0166339141606158	0.149705077740315
valencene	2	15.7062483309974	13.9083291503269	0.509751321113705	0.0322835483640147	0.290551644724197
valencene	5	6.84013159932052	8.54328711780037	0.718979329316841	0.0741291918508334	0.667162059494772
valencene	10	3.88475935542826	6.73727326773553	0.998334090708574	0.130523767682665	1.17471088957667
valencene	20	2.40707323348212	4.18151710917949	1.000001	0.210651433682167	1.58351905688393
valencene	50	1.47081699060043	2.64131132235205	1.00000001806466	0.333486515440823	1.16262645325357
valencene	100	1.02130645019504	2.12791076206802	1.00000001806466	0.413946733475575	1.16262645325357
