chemicals	results_folder	ecModel	media	carbon_source	overexpression	downregulation	deletion	internal_ids
Isoleucine	isoleucine_targets	ecIsoleucine.mat	Min	D-glucose				isoleucine
Itaconic acid	itaconic_acid_targets	ecItaconic_acid.mat	YEP	D-glucose			YJR078W,YJR019C	itaconic_acid
Kaempferol	kaempferol_targets	ecKaempferol.mat	YEP	D-glucose				kaempferol
L-phenylacetylcarbinol	l_pac_targets	ecL_PAC.mat	YEP	D-glucose				l_pac
lactase	lactase_targets	ecLactase.mat	YEP	D-glucose				lactase
Lactic acid	lactate_targets	ecLactate.mat	YEP	D-glucose			YDL022W,YML054C,YLR044C,YOL086C,YPL061W	lactate
Laurate	laurate_targets	ecLaurate.mat	Min	D-glucose				laurate
Leucine	leucine_targets	ecLeucine.mat	Min	D-glucose				leucine
Limonene	limonene_targets	ecLimonene.mat	Min	D-glucose	YJL167W			limonene
Linalool	linalool_targets	ecLinalool.mat	Min	D-glucose	YJL167W			linalool
Lupeol	lupeol_targets	ecLupeol.mat	Min	D-glucose	YML075C,YML126C	YHR072W		lupeol
Lysine	lysine_targets	ecLysine.mat	Min	D-glucose				lysine
Malate	malate_targets	ecMalate.mat	Min	D-glucose	YBR218C,YOL126C		YLR044C,YLR134W,YGR087C,YDL078C	malate
mandelic	mandelic_acid_targets	ecmandelic_acid.mat	Min	D-glucose	YDR127W		YBR166C,YER090W,YDR380W,YLR134W,YGL202W,YBR249C	mandelic_acid
Methionine	methionine_targets	ecMethionine.mat	Min	D-glucose				methionine
Miltiradiene	miltiradiene_targets	ecMiltiradiene.mat	YEP	D-glucose	YPL069C,YJL167W,YML075C			miltiradiene
Naringenin	naringenin_targets	ecNaringenin.mat	Min	D-glucose			YDR035W,YBR249C,YDR380W,YLR134W,YGR087C	naringenin
n-butanol	n-butanol_targets	ecn-Butanol.mat	YEP	D-glucose	YCL017C,YHR002W		YOL086C	n_butanol
Nicotianamine	nicotianamine_targets	ecNicotianamine.mat	YEP	D-glucose			YGL125W	nicotianamine
Oleanolic acid	oleanolate_targets	ecOleanolate.mat	YEP	D-glucose	YML075C,YGR175C,YHR190W		YBR020W	oleanolate
Oleate	oleate_targets	ecOleate.mat	Min	D-glucose				oleate
L-ornithine 	ornithine_targets	ecOrnithine.mat	Min	D-glucose	YOR130C,YPR021C,YOR375C	YJL088W	YLR438W	ornithine
Oxoglutarate	oxoglutarate_targets	ecOxoglutarate.mat	Min	D-glucose				oxoglutarate
Palmitoleate	palmitoleate_targets	ecPalmitoleate.mat	Min	D-glucose				palmitoleate
Patchoulol	patchoulol_targets	ecPatchoulol.mat	YEP	D-glucose	YML075C,YPL117C,YJL167W	YHR190W		patchoulol
Phenylalanine	phenylalanine_targets	ecPhenylalanine.mat	Min	D-glucose				phenylalanine
Proline	proline_targets	ecProline.mat	Min	D-glucose				proline
Protopanaxadiol	protopanaxadiol_targets	ecProtopanaxadiol.mat	Min	D-glucose	YHR190W,YGR175C,YJL167W,YML075C			protopanaxadiol
Psilocybin	psilocybin_targets	ecPsilocybin.mat	Min	D-glucose	YDR127W,YGL148W		YBR249C	psilocybin
Putrescine	putrescine_targets	ecPutrescine.mat	Min	D-glucose				putrescine
Pyruvate	pyruvate_targets	ecPyruvate.mat	YEP	D-glucose			YLR044C,YLR134W,YGR087C	pyruvate
Quercetin	quercetin_targets	ecQuercetin.mat	YEP	D-glucose				quercetin
R,R-2,3-butanediol	r,r-2,3-butanediol_targets	ecR,R-2,3-butanediol.mat	Min	D-glucose				rrbutanediol
Resveratrol	resveratrol_targets	ecResveratrol.mat	Min	D-glucose				resveratrol
Rosmarinic acid	rosmarinic_acid_targets	ecRosmarinic_acid.mat	Min	D-glucose			YBR249C,YPR060C,YDR380W,YLR134W	rosmarinic_acid
Salidroside	salidroside_targets	ecSalidroside.mat	YEP	D-glucose			YNL316C,YLR044C,YKL211C	salidroside
Santalene	santalene_targets	ecSantalene.mat	Min	D-glucose	YML075C,YJL167W,YDL215C	YHR190W	YDR503C,YDR284C,YOR375C	santalene
Serine	serine_targets	ecSerine.mat	Min	D-glucose				serine
Spermine	spermine_targets	ecSpermine.mat	Min	D-glucose				spermine
Succinic acid	suc-retca_targets	ecSuccinate.mat	Min	D-glucose			YLR044C,YLR134W,YGR087C,YPL262W,YER065C,YNL117W	succinate
Succinic acid	suc-retca_targets	ecSuc-reTCA.mat	Min	D-glucose			YLR044C,YLR134W,YGR087C,YPL262W,YER065C,YNL117W	suc_retca
Succinic acid	suc_targets	ecSuc.mat	Min	D-glucose				suc
Taxa-4(20),11(12)-dien-6alpha-yl acetate	taxadien_alpha_yl_acetate_targets	ecTaxadien_5alpha_yl_acetate.mat	YEP	D-glucose	YMR220W,YMR208W,YJL167W,YNR043W			taxadien_alpha_yl_acetate
Threonine	threonine_targets	ecThreonine.mat	Min	D-glucose				threonine
Thymidine	thymidine_targets	ecThymidine.mat	Min	D-glucose				thymidine
triacylglycerol	triacylglycerol_targets	ectriacylglycerol.mat	Min	D-glucose	YNR016C,YMR165C		YMR313C,YKR089C,YOR081C,YPL147W	triacylglycerol
Tryptophan	tryptophan_targets	ecTryptophan.mat	Min	D-glucose				tryptophan
tyrosine	tyrosine_targets	ecTyrosine.mat	YEP	D-glucose			YDR035W,YBR249C,YDR380W,Zwf1	tyrosine
Tyrosol	tyrosol_targets	ecTyrosol.mat	YEP	D-glucose			YNL316C,YLR044C,YKL211C	tyrosol
Urea	urea_targets	ecUrea.mat	Min	D-glucose				urea
Valencene	valencene_targets	ecValencene.mat	YEP	D-glucose	YML075C,YMR220W,YPL028W,YMR208W,YML126C,YJL167W,YNR043W,YPL117C	YHR190W	YPL069C,YDR284C,YDR503C	valencene
Valine	valine_targets	ecValine.mat	Min	D-glucose				valine
vanillin-_-glucoside	vanillinbetaglucoside_targets	ecVanillin_beta_glucoside.mat	Min	D-glucose			YMR318C,YLR300W	vanillin_beta_glucoside
Vitamin A	vitamin_a_targets	ecVitamin_A.mat	Min	D-xylose			YPL061W	vitamin_a
Xanthine	xanthine_targets	ecXanthine.mat	Min	D-glucose				xanthine
Xanthone	xanthone_targets	ecXanthone.mat	YEP	D-glucose		YJL167W		xanthone
Nootkatone	nootkatone_targets	ecNootkatone.mat	YEP	D-glucose	YJL167W,YML075C	YHR190W		nootkatone
Cinnamoyltropine	cinnamoyltropine_targets	ecCinnamoyltropine.mat	YEP	D-glucose	YKL184W,YPL111W,YJL071W,YMR020W		YMR170C,YMR169C,YOR374W,YER073W,YMR110C,YLR017W	cinnamoyltropine
Squalene	squalene_targets	ecSqualene.mat	YEP	ethanol	YML075C,YJL167W,YHR190W,YMR220W,YPL028W,YMR208W,YML126C,YNR043W,YMR303C			squalene
L-(+)-Ergothioneine	ergothioneine_targets	ecErgothioneine.mat	Min	D-glucose				ergothioneine
S-adenosyl-L-methionine	s-adenosyl-l-methionine_targets	ecS-adenosyl-L-methionine.mat	YEP	D-glucose	YDR502C		YOL052C	s_adenosyl_l_methionine
2'-fucosyllactose	2_fucosyllactose_targets	ec2_Fucosyllactose.mat	YEP	D-xylose			YDL236W,YPL061W	
lycopene	lycopene_targets	ecLycopene.mat	YEP	D-glucose	YML075C,YMR303C,YPL061W,YPL188W,YMR165C,YNR016C,YGL055W		YBR020W,YBR018C,YBR019C,YLR300W	lycopene
